asset,slice,feature,target,n,rho,p
opusdt,sell_dom,delta_25,signed_fret,3268,-0.03442612761225333,0.049085417320869074
opusdt,sell_dom,accel,signed_fret,3268,-0.007843179601108011,0.6540074970668156
opusdt,sell_dom,ar1_resid,signed_fret,3268,-0.01667282175762685,0.3406776376538201
opusdt,delta5_conditional,rising_buy,fret,65,-0.11395665374250408,-7.824315008973556
opusdt,delta5_conditional,rising_sell,fret,1630,-0.02338402846402498,-12.70935625124043
opusdt,delta5_conditional,falling_buy,fret,58,-0.1289607032653012,-8.721511361058928
opusdt,delta5_conditional,falling_sell,fret,1638,-0.026515459941527916,-13.897456442955813
injusdt,oos_all,delta_5,fret,9993,-0.04226177925836263,2.3782070422607243e-05
injusdt,oos_all,delta_25,fret,9993,-0.08453097108229518,2.5784397729908217e-17
injusdt,oos_all,accel,fret,9993,-0.004189840644776011,0.6753719249109928
injusdt,oos_all,ar1_resid,fret,9993,-0.01189005654460918,0.23464327180150257
injusdt,oos_all,delta_5,signed_fret,9993,0.01822881105636495,0.06842973805995438
injusdt,oos_all,delta_25,signed_fret,9993,0.03631941860706011,0.000281872260074087
injusdt,oos_all,accel,signed_fret,9993,0.011291196879243055,0.2590585063107897
injusdt,oos_all,ar1_resid,signed_fret,9993,0.005867665017354134,0.5575444186812337
injusdt,high_vpin,delta_5,fret,2013,0.040609226200878173,0.06851383973214202
injusdt,high_vpin,delta_25,fret,2013,0.06910972611928085,0.0019189795720093007
injusdt,high_vpin,accel,fret,2013,-0.007540877658797831,0.735267329908796
injusdt,high_vpin,ar1_resid,fret,2013,0.034832089499342744,0.11821822823428743
injusdt,high_vpin,delta_5,signed_fret,2013,-0.0206707584734552,0.3539541012967564
injusdt,high_vpin,delta_25,signed_fret,2013,-0.08096924062464125,0.00027634688235520123
injusdt,high_vpin,accel,signed_fret,2013,0.029531669880028123,0.18535443763117562
injusdt,high_vpin,ar1_resid,signed_fret,2013,-0.02351940155343466,0.2915520617669743
injusdt,buy_dom,delta_5,fret,148,0.29509471120209374,0.00027161635646419835
injusdt,buy_dom,delta_25,fret,148,0.12048331032031896,0.1446659230951509
injusdt,buy_dom,accel,fret,148,0.15309269000544168,0.06322195373546502
injusdt,buy_dom,ar1_resid,fret,148,0.1286495370867375,0.11916175777604743
injusdt,buy_dom,delta_5,signed_fret,148,0.29509471120209374,0.00027161635646419835
injusdt,buy_dom,delta_25,signed_fret,148,0.12048331032031896,0.1446659230951509
injusdt,buy_dom,accel,signed_fret,148,0.15309269000544168,0.06322195373546502
injusdt,buy_dom,ar1_resid,signed_fret,148,0.1286495370867375,0.11916175777604743
injusdt,sell_dom,delta_5,fret,1865,0.03133081434632259,0.1762261867374456
injusdt,sell_dom,delta_25,fret,1865,0.07743544744672849,0.0008172540935001773
injusdt,sell_dom,accel,fret,1865,-0.019936072403973302,0.3895352772112126
injusdt,sell_dom,ar1_resid,fret,1865,0.030595883486010497,0.18659263981392443
injusdt,sell_dom,delta_5,signed_fret,1865,-0.03133081434632259,0.1762261867374456
injusdt,sell_dom,delta_25,signed_fret,1865,-0.07743544744672849,0.0008172540935001773
